Bracket Type=4
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 Study,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name
Blank,20260101_OA_Blank_method01_DIA25min_1uL_QC_blank1,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,B:A1,1,,0,0,0,1,,,,,,,
QC,20260101_OA_BSAQC_method01_DIA25min_1uL_QC_BSA5fmol1,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,B:A2,1,,0,0,0,1,,,,,,,
QC,20260101_OA_HeLaQC_method01_DIA25min_1uL_QC_HeLa250pg1,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,B:A3,1,,0,0,0,1,,,,,,,
Blank,20260101_OA_Blank_method01_DIA25min_1uL_QC_blank2,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,B:A1,1,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_N14_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:N14,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_J21_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:J21,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_O14_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:O14,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_O6_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:O6,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_N17_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:N17,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_O17_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:O17,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_M6_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:M6,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_I18_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:I18,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_I2_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:I2,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_M2_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:M2,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_I22_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:I22,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_J22_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:J22,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_E21_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:E21,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_C22_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:C22,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_M14_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:M14,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_B9_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:B9,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_A6_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:A6,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_F22_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:F22,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_C10_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:C10,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_K13_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:K13,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_L5_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:L5,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_M10_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:M10,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_P21_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:P21,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_P9_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:P9,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_A2_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:A2,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_M5_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:M5,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_B17_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:B17,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_H22_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:H22,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_D14_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:D14,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_K2_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:K2,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_A18_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:A18,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_G22_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:G22,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_A17_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:A17,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_I6_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:I6,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_L14_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:L14,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_A9_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:A9,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_O2_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:O2,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_C21_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:C21,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_I5_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:I5,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_N21_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:N21,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_H10_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:H10,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_I17_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:I17,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_F14_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:F14,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_G17_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:G17,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_P1_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:P1,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_K9_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:K9,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_H9_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:H9,3.5,,0,0,0,1,,,,,,,
Unknown,20260101_OA_Sa_method01_DIA25min_3point5uL_example_O10_batch1_example,1,D:\AstralData\folder_to_save_ms_raw_data,C:\Xcalibur\LCMS_method01,,,Y:O10,3.5,,0,0,0,1,,,,,,,
